tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round;minutes;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced;;;;;;;;;;;;;;;;;;;;
2015-1536;Madrid Masters;Clay;56;M;20150503;6;104755;;;Richard Gasquet;R;185;FRA;28.8761122519;23;1535;103333;;;Ivo Karlovic;R;208;CRO;36.1779603012;25;1470;6-3 6-4;3;R64;58;4;0;53;44;37;4;10;0;0;9;3;46;31;22;8;9;0;2;;;;;;;;;;;;;;;;;;;;
2014-6710;Dusseldorf;Clay;28;A;20140518;27;104259;1;;Philipp Kohlschreiber;R;178;GER;30.5900068446;29;1280;103333;7;;Ivo Karlovic;R;208;CRO;35.2197125257;49;947;6-2 7-6(4);3;F;73;1;1;58;44;34;10;10;3;4;4;1;59;36;23;12;10;0;3;;;;;;;;;;;;;;;;;;;;
2013-341;Metz;Hard;28;A;20130916;10;105023;6;;Sam Querrey;R;198;USA;25.9438740589;31;1265;103333;;;Ivo Karlovic;R;208;CRO;34.5489390828;73;697;4-6 7-6(4) 6-4;3;R32;102;12;2;89;66;54;13;16;3;4;25;2;89;65;53;13;16;1;2;;;;;;;;;;;;;;;;;;;;
2015-6718;Bogota;Hard;28;A;20150720;25;105173;3;;Adrian Mannarino;L;183;FRA;27.0554414784;33;1150;103333;1;;Ivo Karlovic;R;208;CRO;36.3887748118;23;1450;7-6(5) 7-6(5);3;SF;;2;2;80;48;41;20;12;2;2;17;3;71;53;46;10;12;0;0;;;;;;;;;;;;;;;;;;;;
2014-2276;Zagreb;Hard;28;A;20140203;18;104471;4;;Ivan Dodig;R;183;CRO;29.0869267625;34;1145;103333;;;Ivo Karlovic;R;208;CRO;34.932238193;79;667;7-6(5) 6-3;3;R16;80;6;4;73;56;44;10;11;7;7;12;0;57;41;33;9;10;0;1;;;;;;;;;;;;;;;;;;;;
2014-580;Australian Open;Hard;128;G;20140113;36;104471;32;;Ivan Dodig;R;183;CRO;29.029431896;34;1190;103333;;;Ivo Karlovic;R;208;CRO;34.8747433265;75;667;7-6(8) 6-3 7-6(4);5;R128;114;8;2;100;83;68;12;17;2;3;25;1;101;67;55;18;16;1;3;;;;;;;;;;;;;;;;;;;;
2012-451;Doha;Hard;32;A;20120102;18;104022;7;;Mikhail Youzhny;R;183;RUS;29.5222450376;35;1105;103333;;;Ivo Karlovic;R;208;CRO;32.8432580424;56;867;6-2 6-7(3) 6-3;3;R16;128;5;0;100;77;59;8;15;8;9;20;2;91;63;41;14;14;4;8;;;;;;;;;;;;;;;;;;;;
2015-747;Beijing;Hard;32;A;20151005;24;104655;;;Pablo Cuevas;R;180;URU;29.7577002053;37;1100;103333;;;Ivo Karlovic;R;208;CRO;36.5995893224;18;1620;7-6(5) 7-6(7);3;R16;;8;3;71;44;38;21;12;0;0;26;8;82;45;40;19;12;2;2;;;;;;;;;;;;;;;;;;;;
2014-807;Acapulco;Hard;32;A;20140224;26;105238;;;Alexandr Dolgopolov;R;180;UKR;25.2977412731;38;1070;103333;;;Ivo Karlovic;R;208;CRO;34.9897330595;55;827;6-4 7-6(4);3;QF;100;11;3;74;42;34;21;11;3;3;18;4;73;50;42;10;11;7;8;;;;;;;;;;;;;;;;;;;;
2012-2276;Zagreb;Hard;32;A;20120130;26;104022;3;;Mikhail Youzhny;R;183;RUS;29.5989048597;39;1025;103333;8;;Ivo Karlovic;R;208;CRO;32.9199178645;46;922;7-6(10) 3-6 7-6(6);3;QF;162;10;2;114;76;57;23;16;6;8;22;0;104;86;68;12;17;4;5;;;;;;;;;;;;;;;;;;;;
2013-328;Basel;Hard;32;A;20131021;24;105577;;;Vasek Pospisil;R;193;CAN;23.3292265572;40;1053;103333;;;Ivo Karlovic;R;208;CRO;34.6447638604;83;622;6-3 6-4;3;R16;59;5;1;47;33;29;11;10;0;0;8;3;51;32;28;6;9;2;4;;;;;;;;;;;;;;;;;;;;
2012-438;Moscow;Hard;28;A;20121015;25;105064;4;;Thomaz Bellucci;L;188;BRA;24.7939767283;41;967;103333;;;Ivo Karlovic;R;208;CRO;33.6290212183;130;446;6-7(5) 6-4 6-4;3;SF;141;13;1;94;68;51;20;16;3;3;19;4;113;73;53;22;16;7;9;;;;;;;;;;;;;;;;;;;;
2014-410;Monte Carlo Masters;Clay;56;M;20140413;18;103285;;;Radek Stepanek;R;185;CZE;35.3785078713;41;1040;103333;;;Ivo Karlovic;R;208;CRO;35.1238877481;53;892;6-1 6-2;3;R64;58;1;3;42;25;21;12;8;1;1;2;4;46;25;16;7;7;7;11;;;;;;;;;;;;;;;;;;;;
2015-6003;Kuala Lumpur;Hard;28;A;20150928;23;106401;7;;Nick Kyrgios;R;;AUS;20.4216290212;41;1035;103333;3;WC;Ivo Karlovic;R;208;CRO;36.5804243669;18;1620;7-6(4) 7-6(2);3;QF;;11;1;79;55;47;13;12;2;2;13;4;72;46;38;16;12;1;1;;;;;;;;;;;;;;;;;;;;
2014-560;US Open;Hard;128;G;20140825;95;104719;;;Marcel Granollers;R;190;ESP;28.3696098563;42;1010;103333;25;;Ivo Karlovic;R;208;CRO;35.4880219028;30;1220;7-6(6) 6-7(3) 7-6(5) 3-6 6-4;5;R64;231;7;5;173;110;91;37;28;5;7;31;7;178;112;87;39;27;7;8;;;;;;;;;;;;;;;;;;;;
2014-741;Eastbourne;Grass;28;A;20140616;7;104871;;;Jeremy Chardy;R;188;FRA;27.3401779603;43;1015;103333;5;;Ivo Karlovic;R;208;CRO;35.2963723477;33;1181;6-4 6-4;3;R32;65;9;1;51;35;29;13;10;1;1;14;8;59;40;34;4;10;3;5;;;;;;;;;;;;;;;;;;;;
2014-315;Newport;Grass;32;A;20140707;31;103720;3;;Lleyton Hewitt;R;180;AUS;33.363449692;43;950;103333;2;;Ivo Karlovic;R;208;CRO;35.3538672142;31;1175;6-3 6-7(4) 7-6(3);3;F;150;5;6;96;46;41;29;16;6;8;26;10;127;73;58;18;17;10;14;;;;;;;;;;;;;;;;;;;;
2015-404;Indian Wells Masters;Hard;96;M;20150312;59;105449;;;Steve Johnson;R;188;USA;25.2046543463;44;971;103333;21;;Ivo Karlovic;R;208;CRO;36.0246406571;24;1500;6-3 7-6(5);3;R64;75;7;2;70;48;39;13;11;0;0;18;1;53;36;32;10;10;0;1;;;;;;;;;;;;;;;;;;;;
2015-773;Bucharest;Clay;28;A;20150420;22;106210;7;;Jiri Vesely;L;;CZE;21.7768651608;46;978;103333;3;;Ivo Karlovic;R;208;CRO;36.1396303901;22;1470;6-4 6-4;3;QF;79;2;2;56;38;32;10;10;3;3;11;2;54;34;28;9;10;1;3;;;;;;;;;;;;;;;;;;;;
2012-341;Metz;Hard;28;A;20120917;22;103786;8;;Nikolay Davydenko;R;178;RUS;31.2936344969;48;875;103333;;;Ivo Karlovic;R;208;CRO;33.5523613963;90;571;6-7(5) 7-6(6) 6-0;3;QF;129;1;6;104;77;61;13;15;9;10;13;5;93;56;46;15;15;3;7;;;;;;;;;;;;;;;;;;;;
2014-500;Halle;Grass;28;A;20140609;19;104229;;;Yen Hsun Lu;R;180;TPE;30.8199863107;48;933;103333;;;Ivo Karlovic;R;208;CRO;35.2772073922;33;1177;7-6(2) 7-6(3);3;R16;89;6;4;78;54;46;15;12;2;2;21;1;72;51;44;10;12;0;0;;;;;;;;;;;;;;;;;;;;
